Posicion,Nombre_de_la_cancion,Artistas,Popularidad,Periodo
1,From Yesterday,Thirty Seconds To Mars,0,Último mes
2,September,Daughtry,0,Último mes
3,God Is A Weapon,"Falling In Reverse, Marilyn Manson",0,Último mes
4,La Mentira,Luis Miguel,0,Último mes
5,Angry Again,Megadeth,0,Último mes
6,My Own Summer (Shove It),Deftones,0,Último mes
7,What About Now,Daughtry,0,Último mes
8,La Cosa Mas Bella,Eros Ramazzotti,0,Último mes
9,Here Is Gone,The Goo Goo Dolls,0,Último mes
10,Home,Daughtry,0,Último mes
11,La Media Vuelta,Luis Miguel,0,Último mes
12,Mein Land - Single Version,Rammstein,0,Último mes
13,My Way,Limp Bizkit,0,Último mes
14,Making Love to Morgan Wallen,Limp Bizkit,0,Último mes
15,Full Nelson,Limp Bizkit,0,Último mes
16,Someday (Live Acoustic) - 2020 Remaster,Nickelback,0,Último mes
17,Desesperado,Andrés Cepeda,0,Último mes
18,La flaca,Jarabe De Palo,0,Último mes
19,Re-Arranged,Limp Bizkit,0,Último mes
20,Master Of Puppets,Metallica,0,Último mes
21,Bulls On Parade,Rage Against The Machine,0,Último mes
22,It's Not Over,Daughtry,0,Último mes
23,El lado oscuro,Jarabe De Palo,0,Último mes
24,Mi Inspiración,Andrés Cepeda,0,Último mes
25,If Today Was Your Last Day,Nickelback,0,Último mes
26,Una Cancion,Los De Adentro,0,Último mes
27,I'm Broke,Limp Bizkit,0,Último mes
28,Chances,Five For Fighting,0,Último mes
29,Otra Como Tu,Eros Ramazzotti,0,Último mes
30,Black Balloon - Live,The Goo Goo Dolls,0,Último mes
31,Cocaine,Eric Clapton,0,Último mes
32,Feels Like Tonight,Daughtry,0,Último mes
33,Heirate mich,Rammstein,0,Último mes
34,Stop Crying Your Heart Out,Oasis,0,Último mes
35,Points of Authority,Linkin Park,0,Último mes
36,Sabor a Mi,Luis Miguel,0,Último mes
37,Te Mando Flores - Acoustic,Fonseca,0,Último mes
38,Interstate Love Song - Acoustic; 2019 Remaster,Stone Temple Pilots,0,Último mes
39,Nookie,Limp Bizkit,0,Último mes
40,Medley (Yo Que No Vivo Sin Ti / Culpable O No / Más Allá De Todo / Fría Como El Viento / Entrégate /Tengo Todo Excepto A Ti / La Incondicional) - En Vivo,Luis Miguel,0,Último mes
41,Canela,Cesar Mora,0,Último mes
42,Tengo Ganas,Andrés Cepeda,0,Último mes
43,Hoy Como Tú,Andrés Cepeda,0,Último mes
44,Te Mando Flores,Fonseca,0,Último mes
45,Blurry,Puddle Of Mudd,0,Último mes
46,Ich will,Rammstein,0,Último mes
47,Asche zu Asche,Rammstein,0,Último mes
48,El Eco de Tu Voz - Balada Pop,Andrés Cepeda,0,Último mes
49,Necesito,Andrés Cepeda,0,Último mes
50,No Voy a Dejarte Ir - En Vivo,Andrés Cepeda,0,Último mes
1,My Way,Limp Bizkit,0,Últimos 6 meses
2,Little by Little,Oasis,0,Últimos 6 meses
3,Full Nelson,Limp Bizkit,0,Últimos 6 meses
4,Here Is Gone,The Goo Goo Dolls,0,Últimos 6 meses
5,Chances,Five For Fighting,0,Últimos 6 meses
6,Black Balloon,The Goo Goo Dolls,0,Últimos 6 meses
7,Asche zu Asche,Rammstein,0,Últimos 6 meses
8,If Today Was Your Last Day,Nickelback,0,Últimos 6 meses
9,Livin' It Up,Limp Bizkit,0,Últimos 6 meses
10,Right Now,Korn,0,Últimos 6 meses
11,Break Stuff,Limp Bizkit,0,Últimos 6 meses
12,Hot Dog,Limp Bizkit,0,Últimos 6 meses
13,La Mentira,Luis Miguel,0,Últimos 6 meses
14,From Yesterday,Thirty Seconds To Mars,0,Últimos 6 meses
15,Master Of Puppets,Metallica,0,Últimos 6 meses
16,Slide - Live,The Goo Goo Dolls,0,Últimos 6 meses
17,Lips Of An Angel - Acoustic Version,Hinder,0,Últimos 6 meses
18,La flaca,Jarabe De Palo,0,Últimos 6 meses
19,Mein Land - Single Version,Rammstein,0,Últimos 6 meses
20,Nookie,Limp Bizkit,0,Últimos 6 meses
21,Lemon Tree,Fools Garden,0,Últimos 6 meses
22,Ich will,Rammstein,0,Últimos 6 meses
23,El lado oscuro,Jarabe De Palo,0,Últimos 6 meses
24,Sparks,Coldplay,0,Últimos 6 meses
25,Take A Look Around,Limp Bizkit,0,Últimos 6 meses
26,Coming Undone,Korn,0,Últimos 6 meses
27,Champagne Supernova,Oasis,0,Últimos 6 meses
28,Bulls On Parade,Rage Against The Machine,0,Últimos 6 meses
29,Rammstein,Rammstein,0,Últimos 6 meses
30,God Is A Weapon,"Falling In Reverse, Marilyn Manson",0,Últimos 6 meses
31,Slide,The Goo Goo Dolls,0,Últimos 6 meses
32,Vindicated,Dashboard Confessional,0,Últimos 6 meses
33,Slide - Acoustic,The Goo Goo Dolls,0,Últimos 6 meses
34,Cold,Crossfade,0,Últimos 6 meses
35,Wish You Were Here,Incubus,0,Últimos 6 meses
36,mi refe,"Beéle, Ovy On The Drums",0,Últimos 6 meses
37,September,Daughtry,0,Últimos 6 meses
38,The Resistance,Skillet,0,Últimos 6 meses
39,Seek & Destroy - Remastered,Metallica,0,Últimos 6 meses
40,With Arms Wide Open - Live Acoustic,Creed,0,Últimos 6 meses
41,Sin miedo a nada,Alex Ubago,0,Últimos 6 meses
42,Blind,Korn,0,Últimos 6 meses
43,Someday (Live Acoustic) - 2020 Remaster,Nickelback,0,Últimos 6 meses
44,El Carpintero del Amor,Andrés Cepeda,0,Últimos 6 meses
45,Dos días en la vida,Jarabe De Palo,0,Últimos 6 meses
46,Freak On a Leash,Korn,0,Últimos 6 meses
47,Without You,Hinder,0,Últimos 6 meses
48,Angry Again,Megadeth,0,Últimos 6 meses
49,Carmelina,Andrés Cepeda,0,Últimos 6 meses
50,South Of Heaven,Slayer,0,Últimos 6 meses
1,Blurry,Puddle Of Mudd,0,Histórico
2,Slide,The Goo Goo Dolls,0,Histórico
3,Cocaine,Eric Clapton,0,Histórico
4,Ich will,Rammstein,0,Histórico
5,Layla - Acoustic Live,Eric Clapton,0,Histórico
6,Lips Of An Angel,Hinder,0,Histórico
7,Du riechst so gut,Rammstein,0,Histórico
8,Asche zu Asche,Rammstein,0,Histórico
9,O Tu O Ninguna,Luis Miguel,0,Histórico
10,Demons,Imagine Dragons,0,Histórico
11,Home,Daughtry,0,Histórico
12,Keine Lust,Rammstein,0,Histórico
13,Tears Don't Fall,Bullet For My Valentine,0,Histórico
14,It's Not Over,Daughtry,0,Histórico
15,Wash It All Away,Five Finger Death Punch,0,Histórico
16,El lado oscuro,Jarabe De Palo,0,Histórico
17,Alter Mann,Rammstein,0,Histórico
18,Best of You,Foo Fighters,0,Histórico
19,Heirate mich,Rammstein,0,Histórico
20,The Kill,Thirty Seconds To Mars,0,Histórico
21,Iris,The Goo Goo Dolls,0,Histórico
22,Everybody's Changing,Keane,0,Histórico
23,Drive,Incubus,0,Histórico
24,So Far Away,Staind,0,Histórico
25,It's Time,Imagine Dragons,0,Histórico
26,Toxicity,System Of A Down,0,Histórico
27,Pieces,Sum 41,0,Histórico
28,Mutter,Rammstein,0,Histórico
29,Nubes Negras,Los De Adentro,0,Histórico
30,Engel,Rammstein,0,Histórico
31,Te necesito,Luis Miguel,0,Histórico
32,No Es Casual,Andrés Cepeda,0,Histórico
33,Outside,Staind,0,Histórico
34,I Am the Highway,Audioslave,0,Histórico
35,Dicen,Juan Fernando Velasco,0,Histórico
36,My Way,Limp Bizkit,0,Histórico
37,Así Soy Yo,Luigi 21 Plus,0,Histórico
38,I'll Be Around (feat. Timbaland) - Club Mix,"CeeLo Green, Timbaland",0,Histórico
39,Links 2 3 4,Rammstein,0,Histórico
40,Pardon Me,Incubus,0,Histórico
41,Fly Away From Here,Aerosmith,0,Histórico
42,Te Doy Mi Vida,Lucas Arnau,0,Histórico
43,Mi Media Mitad,Rey Ruiz,0,Histórico
44,Sonne,Rammstein,0,Histórico
45,Too Bad,Nickelback,0,Histórico
46,Me Dediqué a Perderte,Alejandro Fernández,0,Histórico
47,La Grange,ZZ Top,0,Histórico
48,Radio,Rammstein,0,Histórico
49,Before I Forget,Slipknot,0,Histórico
50,Bodies,Drowning Pool,0,Histórico
