Posicion_artista,Artista,Posicion_cancion,Cancion,Album,Popularidad,Duracion_seg
1,Limp Bizkit,1,Rollin' (Air Raid Vehicle),Chocolate Starfish And The Hot Dog Flavored Water,0,213
1,Limp Bizkit,2,My Generation,Chocolate Starfish And The Hot Dog Flavored Water,0,221
1,Limp Bizkit,3,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,0,321
2,Rammstein,1,Rammstein,Herzeleid (Remastered 2020),0,267
2,Rammstein,2,Keine Lust,"Reise, Reise",0,222
2,Rammstein,3,Mein Land - Single Version,Mein Land,0,232
3,Andrés Cepeda,1,Enfermedad de Ti,Día Tras Día,0,229
3,Andrés Cepeda,2,Hasta Que Venga la Mañana,El Carpintero,0,175
3,Andrés Cepeda,3,Tengo Ganas,Banda Sonora,0,153
4,The Goo Goo Dolls,1,Slide - Live,"Live in Buffalo July 4th, 2004",0,237
4,The Goo Goo Dolls,2,Here Is Gone,Gutterflower,0,238
4,The Goo Goo Dolls,3,Iris,Dizzy up the Girl,0,289
5,Nickelback,1,If Today Was Your Last Day,Dark Horse,0,249
5,Nickelback,2,Far Away,All the Right Reasons,0,238
5,Nickelback,3,Savin' Me,All the Right Reasons,0,219
